,first,second,SSD,SD,Pearson
FOXA-FOX,FOXA,FOX,2.762094191,0.02526422,0.993450801
PG-DUK,PG,DUK,4.277598523,0.054929233,0.813922313
UPS-D,UPS,D,4.448860337,0.060262966,0.880925751
USB-BBT,USB,BBT,4.611233804,0.049575931,0.958299817
T-SO,T,SO,5.172892888,0.060484741,0.709808937
WMT-LIN,WMT,LIN,5.246926075,0.065317144,0.721946295
CB-TRV,CB,TRV,5.600501334,0.058343714,0.962675673
JPM-STI,JPM,STI,5.725892237,0.062813516,0.977883821
LIN-EMR,LIN,EMR,5.87201715,0.068719222,0.804247295
VZ-KO,VZ,KO,5.984671467,0.069217603,0.346141945
PFE-CL,PFE,CL,6.091117783,0.064837271,0.768429136
KO-SO,KO,SO,6.092242645,0.049706772,0.770294411
MMM-MMC,MMM,MMC,6.16964669,0.065657177,0.984075836
XOM-CVX,XOM,CVX,6.477284692,0.072744515,0.777819649
MMC-APH,MMC,APH,7.027059136,0.075763574,0.980270367
HON-MMC,HON,MMC,7.482778109,0.076699068,0.989159161
MMM-HON,MMM,HON,7.497111224,0.06591124,0.981575573
HON-ADP,HON,ADP,7.674918864,0.079177318,0.964931761
MRK-SRE,MRK,SRE,7.801556471,0.072281323,0.887194973
MRK-D,MRK,D,7.872249619,0.073801346,0.872579431
COST-TRV,COST,TRV,7.905147425,0.068928183,0.945920209
AFL-YUM,AFL,YUM,7.924180969,0.080422677,0.874371793
KO-DUK,KO,DUK,8.059408362,0.05977673,0.7864064
DUK-EXC,DUK,EXC,8.159414926,0.064530168,0.793019497
PLD-BAX,PLD,BAX,8.343050197,0.072121089,0.939504518
KO-EXC,KO,EXC,8.375963172,0.082580531,0.608867328
CMCSA-DHR,CMCSA,DHR,8.569730309,0.083601074,0.958680993
BRK/B-BK,BRK/B,BK,8.614291973,0.07944352,0.952162689
BRK/B-JNJ,BRK/B,JNJ,8.966668752,0.085486553,0.928607757
MMC-ITW,MMC,ITW,9.048884223,0.082493024,0.98140208
HON-ALL,HON,ALL,9.102587887,0.085014208,0.960238368
D-SRE,D,SRE,9.141618202,0.056627184,0.936712037
WMT-EMR,WMT,EMR,9.222019763,0.086701238,0.666439988
VZ-SO,VZ,SO,9.239886648,0.077052433,0.39572266
ITW-APH,ITW,APH,9.299748157,0.084001063,0.976427601
CL-D,CL,D,9.313131924,0.057405031,0.899760317
MMM-ADP,MMM,ADP,9.390859548,0.077374372,0.969692362
BDX-SYK,BDX,SYK,9.643728285,0.082174631,0.981747042
ECL-AIG,ECL,AIG,9.69720668,0.08613725,0.901396228
KO-CCI,KO,CCI,9.747914459,0.089220756,0.806063901
DUK-CCI,DUK,CCI,9.814509851,0.07220033,0.843544248
BDX-FIS,BDX,FIS,9.969659901,0.090232178,0.976602273
COF-BBT,COF,BBT,9.984107723,0.080979794,0.858735853
VZ-T,VZ,T,10.09149107,0.064433378,0.614623869
OXY-F,OXY,F,10.16595874,0.081795267,0.841107058
MMM-ALL,MMM,ALL,10.24816522,0.071842974,0.973880494
MRK-UPS,MRK,UPS,10.25048306,0.086582089,0.818670482
MMC-AON,MMC,AON,10.29448463,0.062622048,0.988197592
MMC-WM,MMC,WM,10.36491981,0.090514807,0.968314119
COP-APC,COP,APC,10.37699997,0.091645014,0.938707802
XOM-QCOM,XOM,QCOM,10.45981347,0.092331798,0.793756294
ADP-ALL,ADP,ALL,10.53345156,0.091443859,0.95417414
ADP-MMC,ADP,MMC,10.69370724,0.092409524,0.968257204
ITW-WM,ITW,WM,10.7211648,0.093276445,0.971369183
MRK-JCI,MRK,JCI,10.73486277,0.081955657,0.856427019
C-BBT,C,BBT,10.79491681,0.093680681,0.851190962
NEE-DHR,NEE,DHR,11.02030722,0.09362624,0.947769169
JNJ-ECL,JNJ,ECL,11.02199689,0.094755916,0.89805383
PM-SO,PM,SO,11.07639332,0.095084473,0.663437241
